קוד פריט,תיאור פריט,מחיר אחרון שחושב (מטבע),מחיר אחרון שחושב,כמות,ערך מלאי (מטבע),ערך מלאי
33000029,"מנעול רב בריח תא שוטר מע""צ (כחול 031971)",₪  ,170,27,₪  ,4590
22002576,כרטיס חניה למערכת GREEN 4000 כרטיסים בחבילה יצור ישראלי,₪  ,163.4,28,₪  ,4575.2
19000126,סווצ'ר + הדפס,₪  ,24.97,183,₪  ,4569.51
22002451,מכסה לדים למחסום CROWN RGB N&D 36 XT RAL9006 P940095 10103,₪  ,650.1,7,₪  ,4550.7
17000342,כבל XLPE  3X6,₪  ,9.08,500,₪  ,4540
12000025,פנס רמזור לד 3X100 מ''מ 220V JD 100-3-35ACL,₪  ,900,5,₪  ,4500
25001096,שנאי LE2000VA 230VAC/42VAC,₪  ,1119.02,4,₪  ,4476.08
26001083,נתב סלולרי TELTONIKA TRB140 GigaLAN GATEWAY 99560-140-00,₪  ,1484,3,₪  ,4452
22002443,מצלמה IR IP bullet 5Mp AVF H.265 IP67 SMB NBE-5503-AL,Eur,386.69,3,₪  ,4444.11
17000097,כבל צהוב 120אום 2X2X24#,₪  ,3.4,"1,300",₪  ,4420
25000366,מהדק 2 קומות RKD4,₪  ,3.96,"1,111",₪  ,4399.56
14000171,"שוט ל-ג/7  ""4*3.5 כולל ה/8",₪  ,733,6,₪  ,4398
22001245,PS LIGHT P120083,₪  ,168.7,26,₪  ,4386.2
31000038,פנל נגדים,₪  ,37.5,116,₪  ,4350
22002859,DI 16x24VDC ST 6ES7131-6BH01-0BA0,$  ,59,20,₪  ,4340.04
22002860,DQ 16x24VDC/0.5A ST 6ES7132-6BH01-0BA0,$  ,59,20,₪  ,4340.04
25000476,לחצן מואר רגעי מלבני אדום P16 LMT2 כולל נורית לד,₪  ,58.29,73,₪  ,4255.17
24000854,תושבת למנוע IGDS,₪  ,250.01,17,₪  ,4250.17
26000898,מודם RUT951,₪  ,838.97,5,₪  ,4194.85
31000407,פח גב לארון DCWE-2,₪  ,90,46,₪  ,4140
25001059,ספק כח  SP-750-15,$  ,280,4,₪  ,4119.36
22002844,OMEGA FRA PS XTREME 36 P120094 10000,₪  ,1027,4,₪  ,4108
